name;yfinance_ticker
Novo Nordisk B A/S;NOVO-B.CO
Bavarian Nordic A/S;BAVA.CO
Tryg A/S;TRYG.CO
Danske Bank A/S;DANSKE.CO
DSV A/S;DSV.CO
D/S Norden A/S;DNORD.CO
Green Hydrogen Systems A/S;GREENH.CO
ALK-Abelló A/S;ALK-B.CO
TORM plc;TRMD-A.CO
Vestas Wind Systems A/S;VWS.CO
A.P. Møller - Mærsk A/S;MAERSK-B.CO
Rockwool A/S;ROCK-B.CO
GN Store Nord A/S;GN.CO
Netcompany A/S;NETC.CO
FLSmidth & CO A/S;FLS.CO
Demant A/S;DEMANT.CO
cBrain A/S;CBRAIN.CO
SimCorp A/S;SIM.CO
Tesla Inc.;TSLA
Viaplay AB;VPLAY-B.ST
Apple Inc.;AAPL
Microsoft Corporation;MSFT
Eli Lilly ;LLY
Nvidia;NVDA
Xpeng INC;XPEV
Mattel Inc;MAT
Alphabet Inc.;GOOG
Palantir Technologies Inc.;PLT
Kahoot! ASA;KAHOT.OL
Teva Pharmaceutical Industries;TEVA
Quantafuel AS;QFUEL.OL
Activision Blizzard Inc;ATVI
Gravity Co., Ltd.;GRVY
AMC Entertainment;AMC
Kongsberg Automotive;KOA.OL
American Express Company;AXP
H&M AB;HM-B.ST
Target Corporation;TGT
iShares Core MSCI World UCITS ETF USD;EUNL.DE
iShares Global Clean Energy UCITS ETF USD (Dist);IQQH.DE
iShares Core S&P 500 UCITS ETF USD;IUSA.DE
iShares Automation & Robotics UCITS ETF;2B76.DE
iShares S&P 500 Information Technology Sector UCITS ETF USD;QDVE.DE
iShares Core MSCI EM IMI UCITS ETF;IS3N.DE
iShares V PLC - iShares MSCI ACWI UCITS ETF USD;IUSQ.DE
Lyxor Core MSCI World (DR) UCITS ETF;LCUW.DE
iShares Core MSCI Europe UCITS ETF EUR;EUNK.DE
Sparindex INDEX OMX C25 KL;SPIC25KL.CO
Sparinvest INDEX DJSI World KL;SPIDJWKL.CO
Sparinvest INDEX Emerging Markets KL;SPIEMIKL.CO
Sparindex INDEX Globale Aktier KL;SPVIGAKL.CO
Danske Invest Danmark Indeks;DKIDKIX.CO
